District,Gas Stove -Yes,Refrigerator/Freezer,Clothes washer,Car/van/autombile,Motorcycle,Cellular Phone,No Cable/satellite Tv,Average Age
 Coya,594.0,594.0,78.0,64.0,48.0,752.0,1017.0,33.4365379029916
 Coyllurqui,740.0,740.0,29.0,30.0,112.0,1151.0,2105.0,29.9104160340115
 Cristo Nos Valga,514.0,514.0,32.0,30.0,130.0,742.0,902.0,26.8944186046512
 Crucero,1790.0,1790.0,13.0,88.0,484.0,2219.0,2896.0,27.945652173913
 Cuchumbaya,102.0,102.0,1.0,3.0,7.0,221.0,367.0,46.9500657030223
 Cuenca,151.5,151.5,3.0,4.5,9.5,155.5,261.0,35.1805634724287
 Cuispes,96.0,96.0,2.0,1.0,12.0,156.0,218.0,33.5127055306427
 Cujillo,292.0,292.0,1.0,7.0,24.0,498.0,665.0,29.4287553648069
 Culebras,772.0,772.0,100.0,40.0,160.0,757.0,454.0,30.7219890216338
 Cullhuas,135.0,135.0,,25.0,12.0,193.0,447.0,36.6419475655431
 Cumba,970.0,970.0,34.0,36.0,176.0,1705.0,2093.0,29.7038828771483
 Cupi,470.0,470.0,2.0,14.0,283.0,524.0,724.0,31.2326283987915
 Cupisnique,96.0,96.0,9.0,2.0,28.0,290.0,426.0,36.0911808669656
 Cura Mori,2173.0,2173.0,51.0,66.0,222.0,3403.0,5780.0,28.4520379197686
 Curahuasi,3122.0,3122.0,312.0,288.0,262.0,3776.0,4601.0,31.4442458238304
 Curasco,197.0,197.0,,3.0,2.0,208.0,388.0,32.1814483319772
 Curgos,830.0,830.0,16.0,36.0,78.0,1449.0,2174.0,28.1852467399642
 Curibaya,64.0,64.0,1.0,4.0,9.0,74.0,111.0,40.1538461538462
 Curicaca,326.0,326.0,4.0,34.0,44.0,378.0,382.0,30.8921985815603
 Curimana,1100.0,1100.0,35.0,57.0,441.0,1220.0,1308.0,25.8670033670034
 Curpahuasi,257.0,257.0,1.0,8.0,14.0,359.0,705.0,34.2040289256198
 Cusca,130.0,130.0,6.0,16.0,29.0,461.0,645.0,29.9324122479462
 Cusco,29120.0,29120.0,12699.0,5840.0,1151.0,29062.0,20019.0,31.615763761668
 Cusipata,748.0,748.0,24.0,39.0,21.0,813.0,1273.0,31.5257048092869
 Cutervo,6582.0,6582.0,521.0,239.0,1319.0,12355.0,14026.0,31.3488851782733
 Cuturapi,365.0,365.0,1.0,8.0,29.0,353.0,546.0,42.0149606299213
 Cuyocuyo,1103.0,1103.0,3.0,42.0,78.0,1351.0,1850.0,33.2273089171975
 Cuñumbuqui,587.0,587.0,92.0,32.0,197.0,782.0,649.0,33.7512874886398
 Cáceres del Perú,651.0,651.0,40.0,38.0,98.0,807.0,1258.0,35.1070135746606
 Daniel Alomía Robles,542.0,542.0,18.0,16.0,112.0,1453.0,1737.0,28.0677303809834
 Daniel Hernández,1298.0,1298.0,47.0,95.0,278.0,1927.0,2421.0,28.3663769391572
 Dean Valdivia,1852.0,1852.0,386.0,288.0,348.0,1903.0,1188.0,33.8037642252699
 Desaguadero,3047.0,3047.0,85.0,154.0,405.0,3461.0,5636.0,32.7419308043809
 Echarate,2658.0,2658.0,138.0,189.0,1307.0,4445.0,6329.0,31.8076160937365
 Eduardo Villanueva,270.0,270.0,17.0,29.0,133.0,631.0,772.0,32.0998498498498
 El Agustino,49832.0,49832.0,26738.0,7290.0,2465.0,46886.0,21816.0,31.9710804477477
 El Algarrobal,1290.0,1290.0,84.0,222.0,97.0,1306.0,1129.0,25.5238095238095
 El Alto,2166.0,2166.0,649.0,221.0,367.0,2062.0,817.0,30.4998797498797
 El Carmen,1573.5,1573.5,227.5,137.0,505.0,1691.5,1259.5,30.49219392722765
 El Carmen de la Frontera,487.0,487.0,16.0,24.0,136.0,1932.0,3120.0,29.5663329161452
 El Cenepa,91.0,91.0,1.0,,1.0,302.0,2070.0,20.6080274997472
 El Eslabón,337.0,337.0,33.0,13.0,130.0,404.0,423.0,32.1120607787274
 El Ingenio,680.0,680.0,68.0,60.0,115.0,809.0,785.0,32.7498404594767
 El Mantaro,526.0,526.0,30.0,67.0,71.0,666.0,746.0,33.7809853733641
 El Milagro,719.0,719.0,66.0,32.0,180.0,1050.0,1440.0,28.8345064377682
 El Oro,75.0,75.0,1.0,2.0,2.0,113.0,280.0,34.3659420289855
 El Parco,163.0,163.0,2.0,5.0,74.0,241.0,360.0,33.1044407894737
 El Porvenir,14934.666666666666,14934.666666666666,3691.5,1948.5,1214.0,15011.0,14971.0,28.38584014669267
 El Prado,155.0,155.0,4.0,7.0,89.0,415.0,514.0,37.7652120467117
 El Tallan,544.0,544.0,5.0,9.0,74.0,942.0,1395.0,27.005012066085
 El Tambo,44163.0,44163.0,14870.0,8779.0,2646.0,43321.0,31593.0,32.5674475081
 Eleazar Guzmán Barron,19.0,19.0,,2.0,2.0,220.0,335.0,30.4336349924585
 Elías Soplin Vargas,3077.0,3077.0,218.0,87.0,1317.0,3673.0,2884.0,25.180057754374
 Emilio San Martín,134.0,134.0,5.0,3.0,34.0,422.0,1165.0,25.3494826736738
 Encañada,1260.0,1260.0,32.0,59.0,150.0,3761.0,5963.0,30.1373663624511
 Espinar,8721.0,8721.0,609.0,649.0,3455.0,9234.0,9426.0,28.2655976592754
 Estique,31.0,31.0,,,9.0,75.0,121.0,44.5375
 Estique-Pampa,15.0,15.0,,1.0,1.0,58.0,81.0,43.8827160493827
 Eten,2895.0,2895.0,599.0,161.0,233.0,2702.0,2414.0,31.8327357625281
 Eten Puerto,639.0,639.0,244.0,57.0,61.0,573.0,435.0,37.8420153714774
 Fernando Lores,630.0,630.0,51.0,11.0,160.0,1288.0,2505.0,28.0333693693694
 Ferreñafe,8342.0,8342.0,1726.0,504.0,2000.0,7976.0,6512.0,32.7183966811768
 Fidel Olivas Escudero,29.0,29.0,,4.0,1.0,266.0,561.0,30.0361635220126
 Fitzcarrald,70.0,70.0,,1.0,4.0,48.0,323.0,23.1833095577746
 Florencia de Mora,8221.0,8221.0,2390.0,1010.0,734.0,7633.0,6771.0,32.145993237078
 Florida,1013.0,1013.0,74.0,63.0,181.0,1424.0,1472.0,30.6912818803134
 Frias,1963.0,1963.0,49.0,31.0,144.0,2677.0,5027.0,29.2092380377965
 Gamarra,28.0,28.0,1.0,3.0,1.0,279.0,973.0,37.8957584471603
 Gorgor,259.0,259.0,8.0,8.0,16.0,349.0,409.0,32.4383971291866
 Goyllarisquizga,221.0,221.0,,,1.0,314.0,383.0,34.5114006514658
 Granada,42.0,42.0,,,2.0,116.0,153.0,33.1729166666667
 Gregorio Pita,169.0,169.0,6.0,8.0,42.0,1015.0,1712.0,34.3508566978193
 Grocio Prado,6332.0,6332.0,1636.0,678.0,948.0,5911.0,4023.0,29.9518067525895
 Guadalupe,9964.0,9964.0,2205.0,800.0,3263.0,10203.0,5623.0,32.3356292115275
 Guadalupito,1477.0,1477.0,183.0,106.0,217.0,1560.0,1046.0,28.5978798586572
 Guzmango,54.0,54.0,5.0,6.0,38.0,487.0,865.0,32.0656961552818
 Habana,356.0,356.0,34.0,8.0,177.0,407.0,294.0,28.5826865671642
 Haquira,1454.0,1454.0,56.0,83.0,211.0,2370.0,3091.0,31.3930010604454
 Hermílio Valdizan,528.0,528.0,6.0,19.0,124.0,790.0,943.0,28.2889208633094
 Heroínas Toledo,104.0,104.0,1.0,21.0,13.0,224.0,322.0,33.1152263374486
 Hongos,35.0,35.0,,,6.0,72.0,126.0,34.5981873111783
 Honoria,483.0,483.0,37.0,14.0,168.0,749.0,1134.0,27.420232654757
 Huabal,1035.0,1035.0,18.0,34.0,111.0,1423.0,2085.0,28.1194713425805
 Huac-Huas,88.0,88.0,1.0,,3.0,284.0,601.0,38.1378205128205
 Huacachi,59.0,59.0,3.0,5.0,8.0,326.0,487.0,32.0813692480359
 Huacar,1282.0,1282.0,25.0,74.0,103.0,1554.0,1915.0,36.8167539267016
 Huacaschuque,18.0,18.0,1.0,,5.0,119.0,153.0,29.9196940726577
 Huacaybamba,537.0,537.0,46.0,25.0,125.0,1135.0,1513.0,29.6670074982958
 Huacaña,72.0,72.0,,2.0,1.0,90.0,155.0,38.6229946524064
 Huaccana,792.0,792.0,39.0,64.0,61.0,1446.0,1933.0,33.6275248718722
 Huacchis,127.0,127.0,1.0,1.0,5.0,267.0,437.0,33.1219341275403
 Huachac,611.0,611.0,50.0,65.0,88.0,707.0,834.0,35.5047489823609
 Huachis,362.0,362.0,15.0,23.0,17.0,720.0,994.0,31.5058965830057
 Huacho,17680.0,17680.0,8162.0,2406.0,1177.0,17268.0,6233.0,34.3548509708277
 Huachocolpa,238.0,238.0,5.5,16.0,27.0,483.0,721.5,30.168505075616302
 Huachon,954.0,954.0,29.0,45.0,485.0,1099.0,1246.0,29.7122086314332
 Huachos,89.0,89.0,2.0,,6.0,199.0,355.0,38.525571273123
 Huachupampa,97.0,97.0,3.0,12.0,,138.0,158.0,39.6256157635468
 Huacllan,20.0,20.0,,,1.0,62.0,76.0,33.2032967032967
 Huacrachuco,868.0,868.0,67.0,47.0,206.0,1873.0,3603.0,28.0142049469965
 Huacrapuquio,309.0,309.0,3.0,19.0,17.0,336.0,454.0,35.9143484626647
 Huacullani,906.0,906.0,9.0,7.0,203.0,1456.0,3571.0,33.7506766266104
 Hualgayoc,1038.0,1038.0,57.0,70.0,77.0,2527.0,4144.0,32.7259612203031
 Hualhuas,1081.0,1081.0,168.0,155.0,119.0,1134.0,1176.0,30.1613026090269
 Hualla,244.0,244.0,9.0,7.0,5.0,585.0,818.0,37.3346080305927
 Huallaga,333.0,333.0,11.0,6.0,107.0,369.0,547.0,28.6831427517521
 Huallanca,528.0,528.0,80.0,57.5,49.5,739.5,710.0,32.8697597789116
 Hualmay,7319.0,7319.0,2927.0,801.0,756.0,6772.0,2487.0,33.5181992004172
 Huamachuco,9345.0,9345.0,1355.0,829.0,1362.0,13951.0,13761.0,26.5302083644734
 Huamali,316.0,316.0,21.0,39.0,19.0,412.0,482.0,35.134872417983
 Huamancaca Chico,1473.0,1473.0,132.0,166.0,160.0,1475.0,1692.0,32.2517681953
 Huamanguilla,656.0,656.0,5.0,26.0,13.0,882.0,1300.0,34.4728495915425
 Huamanquiquia,139.0,139.0,1.0,,1.0,236.0,359.0,32.7043158861341
 Huamantanga,118.0,118.0,6.0,10.0,6.0,176.0,285.0,44.2667638483965
 Huamatambo,13.0,13.0,,1.0,2.0,111.0,143.0,36.5979381443299
 Huambalpa,213.0,213.0,4.0,3.0,6.0,370.0,599.0,41.4194029850746
 Huambo,231.5,231.5,17.0,13.5,37.0,366.0,618.0,41.03240287114045
 Huambos,682.0,682.0,34.0,14.0,84.0,1906.0,2440.0,33.9222277972905
 Huampara,36.0,36.0,,6.0,5.0,68.0,75.0,50.0469798657718
 Huanca,191.0,191.0,3.0,9.0,1.0,270.0,403.0,42.7732673267327
 Huanca-Huanca,52.0,52.0,,5.0,5.0,212.0,398.0,28.7292445774121
 Huancabamba,1971.0,1971.0,169.0,139.5,970.5,3536.0,4109.0,30.071526005989497
 Huancan,5767.0,5767.0,382.0,678.0,372.0,5811.0,5918.0,27.257792992348
 Huancano,324.0,324.0,26.0,18.0,42.0,301.0,214.0,33.108049311095
 Huancané,3966.0,3966.0,73.0,168.0,451.0,5311.0,7334.0,37.6451819442962
 Huancapi,409.0,409.0,12.0,15.0,35.0,506.0,553.0,36.5723370429253
 Huancapon,27.0,27.0,,,,176.0,390.0,40.8607723577236
 Huancarama,687.0,687.0,29.0,66.0,42.0,1050.0,1561.0,32.9975047984645
 Huancarani,1000.0,1000.0,14.0,93.0,96.0,1315.0,1807.0,27.4746057010563
 Huancaray,422.0,422.0,8.0,15.0,14.0,649.0,1269.0,33.6354916067146
 Huancaraylla,313.0,313.0,1.0,7.0,22.0,350.0,483.0,37.1846986089645
 Huancarqui,379.0,379.0,83.0,70.0,53.0,437.0,345.0,37.6936141304348
 Huancas,79.0,79.0,2.0,2.0,10.0,100.0,116.0,37.1621621621622
 Huancaspata,355.0,355.0,21.0,14.0,41.0,838.0,1669.0,29.0527480006806
 Huancavelica,10302.0,10302.0,1296.0,840.0,475.0,10685.0,8875.0,29.4387318986323
 Huancaya,75.0,75.0,5.0,5.0,9.0,112.0,48.0,35.8489932885906
 Huancayo,32008.0,32008.0,11406.0,5876.0,1796.0,31573.0,23879.0,32.105564491262
 Huanchaco,15575.0,15575.0,5154.0,2500.0,1740.0,15065.0,11349.0,29.4833574529667
 Huanchay,44.0,44.0,5.0,1.0,2.0,284.0,569.0,37.9025
 Huando,922.0,922.0,8.0,32.0,33.0,1272.0,1706.0,31.6685439787974
 Huandoval,30.0,30.0,8.0,4.0,8.0,215.0,282.0,33.8151848151848
 Huangascar,83.0,83.0,1.0,1.0,21.0,123.0,147.0,36.6310832025118
 Huanipaca,551.0,551.0,6.0,8.0,14.0,394.0,1079.0,35.1188496188496
 Huanoquite,705.0,705.0,8.0,33.0,66.0,775.0,1478.0,31.7752208752825
 Huanta,8103.0,8103.0,1046.0,684.0,808.0,9162.0,8459.0,28.8857200698434
 Huantan,81.0,81.0,1.0,5.0,14.0,147.0,225.0,34.4250797024442
 Huantar,204.0,204.0,7.0,8.0,22.0,554.0,828.0,34.4955270322832
 Huanuara,95.0,95.0,,4.0,19.0,168.0,239.0,42.6097087378641
 Huanuhuanu,753.0,753.0,32.0,69.0,284.0,751.0,318.0,29.2061043649491
 Huanza,127.0,127.0,3.0,5.0,1.0,157.0,220.0,38.0468571428571
 Huaquirca,288.0,288.0,7.0,1.0,3.0,289.0,487.0,32.9407930472569
 Huaral,25432.0,25432.0,9654.0,3098.0,3742.0,24619.0,10457.0,32.1929540109093
 Huaranchal,367.0,367.0,15.0,23.0,83.0,663.0,1139.0,32.3860406091371
 Huarango,2156.0,2156.0,47.0,74.0,373.0,4057.0,4904.0,28.8166222518321
 Huaraz,13285.0,13285.0,4913.0,2320.0,874.0,14556.0,9999.0,32.1630813189701
 Huari,1322.0,1322.0,263.0,140.0,143.0,2221.0,2230.0,32.5341032904772
 Huariaca,1500.0,1500.0,209.0,140.0,67.0,1649.0,993.0,30.9903249097473
 Huaribamba,247.0,247.0,2.0,10.0,27.0,644.0,1021.0,34.4698634698635
 Huaricolca,310.0,310.0,3.0,16.0,5.0,403.0,616.0,33.4291732490785
 Huaripampa,174.0,174.0,14.0,14.0,3.0,266.0,313.0,37.706
 Huarmaca,3292.0,3292.0,105.0,90.0,341.0,4715.0,9373.0,28.7813941712614
 Huarmey,6714.0,6714.0,1518.0,453.0,1682.0,6650.0,2872.0,31.7244097623124
 Huaro,816.0,816.0,111.0,80.0,54.0,936.0,1205.0,30.4230854605993
 Huarochirí,222.0,222.0,4.0,10.0,35.0,331.0,319.0,36.5153609831029
 Huarocondo,626.0,626.0,29.0,63.0,72.0,947.0,1395.0,33.375027575557
 Huaros,179.0,179.0,14.0,23.0,10.0,196.0,205.0,37.6
 Huasahuasi,2379.0,2379.0,42.0,193.0,168.0,2475.0,3098.0,32.7154832845167
 Huasicancha,37.0,37.0,,3.0,7.0,202.0,306.0,34.0639324487334
 Huasmin,368.0,368.0,5.0,17.0,41.0,2016.0,3276.0,31.3986112414376
 Huaso,723.0,723.0,1.0,1.0,67.0,888.0,1554.0,27.7555228276878
 Huasta,136.0,136.0,5.0,6.0,9.0,322.0,493.0,35.0405027932961
 Huata,229.0,229.0,3.5,12.5,134.5,535.5,815.0,33.6412736538752
 Huatasani,429.0,429.0,4.0,8.0,37.0,895.0,1232.0,34.8277651638015
 Huaura,8478.0,8478.0,2215.0,943.0,964.0,8136.0,4059.0,30.9603325279024
 Huay-Huay,300.0,300.0,23.0,56.0,19.0,322.0,241.0,31.7786337955829
 Huayacundo Arma,11.0,11.0,,3.0,1.0,69.0,179.0,40.5758928571429
 Huayan,57.0,57.0,7.0,12.0,13.0,208.0,227.0,37.2009291521487
 Huayana,57.0,57.0,,4.0,3.0,135.0,261.0,34.2986666666667
 Huaylas,67.0,67.0,10.0,11.0,4.0,431.0,633.0,38.002478314746
 Huaylillas,95.0,95.0,11.0,12.0,15.0,237.0,323.0,31.7651122625216
 Huayllabamba,544.0,544.0,103.5,87.5,84.5,970.5,1196.5,32.3046034727902
 Huayllacayan,139.0,139.0,3.0,5.0,13.0,288.0,420.0,39.3495610534717
 Huayllahuara,27.0,27.0,,,,91.0,270.0,40.7613814756672
 Huayllan,64.0,64.0,14.0,15.0,23.0,611.0,890.0,31.3849018280298
 Huayllapampa,57.0,57.0,,1.0,,142.0,262.0,43.9338709677419
 Huayllati,178.0,178.0,,1.0,9.0,239.0,461.0,32.077485380117
 Huayllay,1589.0,1589.0,127.0,278.0,145.0,1805.0,882.0,30.34363579409
 Huayllay Grande,38.0,38.0,,2.0,2.0,103.0,386.0,34.6597659765977
 Huaynacotas,197.0,197.0,1.0,4.0,10.0,282.0,610.0,33.70412963931
 Huayo,198.0,198.0,8.0,5.0,29.0,539.0,858.0,27.9088556641748
 Huayopata,952.0,952.0,44.0,41.0,100.0,1267.0,1812.0,39.0354075005238
 Huayrapata,501.0,501.0,9.0,6.0,88.0,518.0,1015.0,36.18407960199
 Huaytará,550.0,550.0,17.0,47.0,21.0,663.0,739.0,34.1281453867661
 Huayucachi,2133.0,2133.0,177.0,238.0,141.0,2268.0,2459.0,30.3923469387755
 Huañec,57.0,57.0,2.0,4.0,8.0,121.0,154.0,47.5092592592593
 Huepetuhe,1780.0,1780.0,155.0,332.0,550.0,2409.0,1397.0,27.6428738045253
 Huertas,312.0,312.0,9.0,40.0,87.0,491.0,564.0,32.9642332190103
 Huicungo,1150.0,1150.0,68.0,25.0,293.0,1352.0,1378.0,27.0361359570662
 Huimbayoc,206.0,206.0,12.0,3.0,26.0,470.0,1118.0,26.3047236180905
 Humay,1357.0,1357.0,142.0,121.0,294.0,1414.0,924.0,31.2416789940828
 Huánuco,21529.0,21529.0,5577.0,2887.0,4928.0,21624.0,14583.0,30.6389354427834
 Héroes Albarracín,12.0,12.0,,3.0,1.0,65.0,184.0,48.7124183006536
 Iberia,1095.0,1095.0,342.0,60.0,877.0,1355.0,918.0,30.090312553963
 Ica,38856.0,38856.0,18904.0,8423.0,5385.0,38294.0,21522.0,33.7851809954751
 Ichocan,418.0,418.0,38.0,37.0,70.0,477.0,596.0,35.6549184639663
 Ichupampa,201.0,201.0,2.0,12.0,29.0,187.0,226.0,39.7369369369369
 Ichuña,397.0,397.0,9.0,29.0,74.0,681.0,1331.0,35.8369527749052
 Ignacio Escudero,3834.0,3834.0,296.0,238.0,1280.0,4389.0,2890.0,30.5116780100867
 Iguain,531.0,531.0,1.0,8.0,6.0,582.0,873.0,32.1919760029996
 Ihuari,316.0,316.0,9.0,46.0,48.0,474.0,581.0,36.1816396661757
 Ihuayllo,107.0,107.0,2.0,2.0,,137.0,193.0,41.965367965368
 Ilabaya,583.0,583.0,607.0,596.0,184.0,1406.0,760.0,34.1316944688323
 Ilave,9759.0,9759.0,304.0,846.0,2874.0,11189.0,16762.0,34.3475161893172
 Illimo,1521.0,1521.0,234.0,60.0,235.0,1888.0,1740.0,32.1304200542005
 Ilo,20017.0,20017.0,8496.0,4512.0,868.0,19641.0,9784.0,32.8064802418809
 Imaza,1577.0,1577.0,98.0,42.0,254.0,1842.0,5874.0,22.7096415229314
 Imperial,9749.0,9749.0,2698.0,836.0,1766.0,9136.0,5425.0,30.4860115606936
 Inahuaya,244.0,244.0,27.0,2.0,43.0,269.0,248.0,27.668584579977
 Inambari,2722.0,2722.0,202.0,259.0,1176.0,3041.0,1745.0,26.3401037165082
 Incahuasi,1210.0,1210.0,6.0,9.0,199.0,2053.0,3467.0,26.8216914417665
 Inchupalla,294.0,294.0,,11.0,51.0,695.0,1115.0,37.5768357305072
 Inclan,695.0,695.0,32.0,113.0,374.0,1018.0,1003.0,33.1898201301186
 Independencia,18101.25,18101.25,11089.333333333334,3174.3333333333335,1133.0,17896.5,9182.0,33.547988530922574
 Indiana,389.0,389.0,35.0,6.0,86.0,889.0,1958.0,26.640813104401
 Ingenio,366.0,366.0,16.0,61.0,24.0,527.0,608.0,32.8190235690236
 Inguilpata,153.0,153.0,1.0,2.0,5.0,155.0,167.0,42.2489959839357
 Inkawasi,249.0,249.0,1.0,3.0,10.0,626.0,1303.0,30.1302217036173
 Iparia,365.0,365.0,14.0,8.0,118.0,797.0,2253.0,22.349244771495
 Iquitos,26445.0,26445.0,14720.0,1815.0,17001.0,27049.0,11903.0,33.1683928826786
 Iray,145.0,145.0,20.0,21.0,14.0,171.0,179.0,42.5042016806723
 Irazola,1615.0,1615.0,124.0,51.0,693.0,1789.0,2111.0,25.9142353632269
 Islay,1501.0,1501.0,501.0,224.0,142.0,1518.0,630.0,30.2850740452065
 Ite,669.0,669.0,132.0,140.0,213.0,697.0,470.0,28.5177179305457
 Ituata,921.0,921.0,4.0,14.0,54.0,901.0,3703.0,31.1145362742493
 Izcuchaca,113.0,113.0,10.0,12.0,5.0,167.0,242.0,33.3132387706856
 Iñapari,545.0,545.0,193.0,63.0,251.0,582.0,411.0,28.4625679631953
 Jacas Chico,72.0,72.0,,6.0,2.0,226.0,358.0,32.9477477477477
 Jacas Grande,415.0,415.0,4.0,27.0,85.0,1060.0,1552.0,29.7203283955024
 Jacobo Hunter,13016.0,13016.0,5122.0,3106.0,552.0,12408.0,8932.0,32.608005741169
 Jamalca,852.0,852.0,10.0,28.0,102.0,1403.0,1787.0,28.8770392749245
 Jangas,697.0,697.0,56.0,61.0,16.0,977.0,1238.0,31.9849403890399
 Janjaillo,62.0,62.0,,1.0,2.0,102.0,218.0,41.15770609319
 Jaqui,416.0,416.0,73.0,66.0,83.0,466.0,219.0,33.9569190600522
 Jauja,4319.0,4319.0,701.0,501.0,314.0,4388.0,3286.0,32.540149653786
 Jayanca,3645.0,3645.0,476.0,103.0,755.0,3917.0,3225.0,29.9511160195303
 Jazan,1917.0,1917.0,250.0,114.0,276.0,2022.0,1702.0,33.0094986807388
 Jaén,22041.0,22041.0,4610.0,1308.0,9056.0,23162.0,13579.0,29.7404862298599
 Jeberos,93.0,93.0,3.0,1.0,51.0,328.0,780.0,22.9602564102564
 Jenaro Herrera,123.0,123.0,12.0,4.0,42.0,518.0,844.0,26.4064670138889
 Jepelacio,2123.0,2123.0,81.0,60.0,348.0,3270.0,3242.0,28.1664173766014
 Jequetepeque,1023.0,1023.0,198.0,76.0,257.0,1070.0,463.0,32.1634429400387
 Jesús,1073.0,1073.0,40.5,71.5,110.5,1782.0,2665.0,30.4479327428283
 Jesús María,22270.0,22270.0,19902.0,9382.0,690.0,22832.0,5003.0,40.1197468119269
 Jesús Nazareno,4470.0,4470.0,918.0,659.0,420.0,4551.0,3612.0,28.4286177806619
 Jilili,157.0,157.0,5.0,7.0,28.0,431.0,676.0,32.195841995842
 Jircan,81.0,81.0,3.0,5.0,12.0,211.0,366.0,28.3456090651558
 Jivia,31.0,31.0,,3.0,6.0,214.0,374.0,34.0959446092977
 Jorge Chávez,34.0,34.0,,1.0,3.0,47.0,160.0,36.7551020408163
 José Crespo y Castillo,4238.0,4238.0,545.0,145.0,1595.0,5267.0,4630.0,28.9122308004876
 José Domingo Choquehuanca,705.0,705.0,11.0,37.0,188.0,1162.0,1635.0,32.525100851636
 José Galvez,231.0,231.0,50.0,32.0,43.0,510.0,779.0,35.5191555903049
 José Leonardo Ortiz,37352.0,37352.0,8952.0,4152.0,7554.0,35964.0,28109.0,31.2797352042838
 José Luis Bustamante Y Rivero,23187.0,23187.0,16088.0,8959.0,1391.0,22810.0,9383.0,35.9063901550795
 José Manuel Quiroz,763.0,763.0,8.0,15.0,17.0,770.0,1156.0,32.8831828442438
 José María Arguedas,248.0,248.0,3.0,34.0,84.0,720.0,1089.0,26.6917422200441
 José María Quimper,1310.0,1310.0,313.0,241.0,213.0,1293.0,840.0,32.0159448394743
 José Sabogal,674.0,674.0,8.0,43.0,100.0,1928.0,3450.0,27.3029194044748
 Juan Espinoza Medrano,378.0,378.0,1.0,10.0,10.0,426.0,675.0,36.8497954412624
 Juan Guerra,947.0,947.0,284.0,43.0,399.0,916.0,379.0,33.6498592270284
 Juanjuí,7021.0,7021.0,2076.0,327.0,3232.0,7122.0,2842.0,30.0294045123906
 Julcamarca,198.0,198.0,2.0,12.0,6.0,454.0,597.0,34.7667050691244
 Julcán,1017.0,1017.0,12.5,17.0,177.0,1354.5,2048.5,33.710817006903895
 Juli,4260.0,4260.0,96.0,306.0,621.0,5403.0,7961.0,34.7410610428362
 Juliaca,62161.0,62161.0,8040.0,8823.0,12561.0,63254.0,59696.0,28.8943495711025
 Jumbilla,342.0,342.0,55.0,24.0,69.0,396.0,386.0,34.7471952131638
 Junín,2963.0,2963.0,140.0,266.0,634.0,3052.0,2965.0,33.4949890670554
 Justo Apu Sahuaraura,113.0,113.0,,2.0,1.0,183.0,295.0,35.3442176870748
 Kaquiabamba,155.0,155.0,,2.0,10.0,373.0,588.0,38.5996696035242
 Kelluyo,928.0,928.0,46.0,34.0,345.0,2082.0,3786.0,34.7838279335693
 Kimbiri,3018.0,3018.0,162.0,185.0,656.0,3840.0,2827.0,26.3913043478261
 Kishuara,394.0,394.0,4.0,59.0,54.0,1280.0,1773.0,30.5039017101112
 Kosñipata,297.0,297.0,15.0,14.0,106.0,608.0,1302.0,28.6652282534635
 Kunturkanki,607.0,607.0,7.0,17.0,148.0,1024.0,1612.0,32.2829155255951
 La Arena,4983.0,4983.0,167.0,215.0,566.0,6998.0,8612.0,28.2719574534001
 La Banda de Shilcayo,10453.0,10453.0,4357.0,694.0,6546.0,10323.0,4324.0,29.0268163105724
 La Brea,3093.0,3093.0,1266.0,398.0,426.0,2988.0,984.0,33.0287522024668
 La Capilla,36.0,36.0,,1.0,3.0,95.0,302.0,43.0047923322684
 La Coipa,2586.0,2586.0,53.0,104.0,666.0,4237.0,4872.0,27.9358450056231
 La Cruz,2488.0,2488.0,562.0,183.0,403.0,2345.0,1159.0,30.143262858946
 La Cuesta,53.0,53.0,,,9.0,89.0,213.0,33.0081433224756
 La Esperanza,22691.0,22691.0,7447.5,3032.0,2281.0,21813.5,18594.5,34.564275802638406
 La Florida,251.0,251.0,2.0,3.0,29.0,624.0,739.0,39.1658198614319
 La Huaca,2321.0,2321.0,235.0,159.0,424.0,2699.0,2069.0,30.4169111969112
 La Jalca,576.0,576.0,10.0,16.0,44.0,839.0,1063.0,28.8049270990447
 La Joya,9966.0,9966.0,1050.0,1854.0,956.0,10345.0,9870.0,30.2376713826166
 La Libertad,61.0,61.0,,2.0,5.0,219.0,317.0,31.4446529080675
 La Libertad de Pallan,197.0,197.0,6.0,2.0,25.0,1017.0,1934.0,30.0383898041654
 La Matanza,1978.0,1978.0,92.0,82.0,535.0,2796.0,3143.0,30.9532757019361
 La Merced,129.0,129.0,2.0,6.0,8.0,288.5,445.0,36.0258508874185
 La Molina,37407.0,37407.0,35261.0,26224.0,1872.0,39249.0,5034.0,38.0443420837509
 La Morada,473.0,473.0,19.0,19.0,245.0,650.0,675.0,27.7426523297491
 La Oroya,3735.0,3735.0,561.0,439.0,70.0,3656.0,1106.0,32.4419798873119
 La Pampa,129.0,129.0,16.0,5.0,8.0,250.0,306.0,37.5799220272905
 La Peca,1152.0,1152.0,33.0,23.0,138.0,1405.0,1722.0,32.7670926517572
 La Perla,17111.0,17111.0,14294.0,4808.0,761.0,16277.0,4955.0,38.0758421935295
 La Primavera,,,,,,36.0,165.0,38.6673960612691
 La Punta,1139.0,1139.0,1096.0,711.0,58.0,1144.0,175.0,43.8508749020632
 La Ramada,281.0,281.0,2.0,12.0,49.0,763.0,1105.0,30.5974808324206
 La Tinguiña,10275.0,10275.0,2550.0,1673.0,1394.0,9780.0,8296.0,30.2697730833375
