District,Gas Stove -Yes,Refrigerator/Freezer,Clothes washer,Car/van/autombile,Motorcycle,Cellular Phone,No Cable/satellite Tv,Average Age
 Yautan,1257.0,1257.0,96.0,116.0,616.0,1883.0,1434.0,30.8664659843468
 Yauya,293.0,293.0,22.0,10.0,18.0,807.0,1261.0,32.8885902760811
 Yauyos,1264.0,1264.0,128.0,103.0,71.5,1276.0,1067.5,34.41593968440095
 Yauyucan,251.0,251.0,7.0,9.0,71.0,660.0,836.0,33.0485232067511
 Yavari,540.0,540.0,23.0,2.0,16.0,485.0,1694.0,24.0754243366005
 Yonan,1306.0,1306.0,218.0,130.0,317.0,1789.0,1300.0,36.5133809099019
 Yorongos,474.0,474.0,19.0,12.0,170.0,585.0,548.0,30.0417007358953
 Yucay,597.0,597.0,226.0,111.0,116.0,673.0,430.0,32.6922122246354
 Yunga,109.0,109.0,,,2.0,192.0,416.0,34.8530092592593
 Yungar,250.0,250.0,39.0,42.0,7.0,545.0,752.0,32.0294117647059
 Yungay,3162.0,3162.0,417.0,400.0,251.0,4488.0,4748.0,32.2360737419033
 Yunguyo,5369.0,5369.0,139.0,384.0,832.0,5402.0,8494.0,35.9451764225984
 Yupan,36.0,36.0,2.0,6.0,2.0,103.0,142.0,40.6969696969697
 Yura,11898.0,11898.0,946.0,1910.0,402.0,11925.0,12032.0,28.6906675463324
 Yuracmarca,203.0,203.0,9.0,19.0,19.0,387.0,558.0,29.5292929292929
 Yuracyacu,874.0,874.0,97.0,43.0,461.0,1007.0,462.0,30.4791231732777
 Yurimaguas,13305.0,13305.0,3568.0,391.0,6053.0,15031.0,11459.0,26.9720420326974
 Yurua,26.0,26.0,5.0,1.0,3.0,109.0,477.0,20.7812658227848
 Yuyapichis,763.0,763.0,42.0,25.0,247.0,1008.0,1269.0,25.8535274744323
 Zapatero,718.0,718.0,55.0,27.0,158.0,932.0,1139.0,29.3640342530923
 Zarumilla,5655.0,5655.0,1324.0,370.0,1904.0,5273.0,2993.0,28.7484386480529
 Zepita,2958.0,2958.0,16.0,47.0,247.0,3438.0,7211.0,34.3261858349578
 Zorritos,3113.0,3113.0,904.0,306.0,662.0,2981.0,1040.0,30.2561636084391
 Zurite,590.0,590.0,30.0,68.0,63.0,736.0,944.0,34.4485656331498
 Zúñiga,271.0,271.0,20.0,24.0,65.0,294.0,252.0,34.8843226788432
 Ñahuimpuquio,151.0,151.0,,18.0,4.0,292.0,490.0,33.7668918918919
